2023-03-30 03:25:16.071332	https://www.encodeproject.org/report/?type=Experiment&assay_title=Histone+ChIP-seq&target.investigated_as=histone&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&replicates.library.biosample.disease_term_name%21=Alzheimer%27s+disease&replicates.library.biosample.disease_term_name%21=mild+cognitive+impairment&replicates.library.biosample.disease_term_name%21=Cognitive+impairment&replicates.library.biosample.disease_term_name%21=basal+cell+carcinoma&replicates.library.biosample.disease_term_name%21=squamous+cell+carcinoma&replicates.library.biosample.disease_term_name%21=nonobstructive+coronary+artery+disease&assembly=GRCh38&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=assay_term_name&field=assay_title&field=biosample_ontology.classification&field=target.%40id&field=target.label&field=target.genes.symbol&field=biosample_summary&field=biosample_ontology.term_name&field=dbxrefs&field=award.project&field=files.%40id&field=replicates.library.biosample.accession&field=replicates.biological_replicate_number&field=replicates.technical_replicate_number&field=replicates.library.biosample.organism.scientific_name&field=replicates.library.biosample.life_stage&field=replicates.%40id&target.label=H3K27ac&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Project	Files	Biosample accession	Biological replicate	Technical replicate	Organism	Life stage	Replicates
/experiments/ENCSR453MUW/	ENCSR453MUW	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens upper lobe of left lung tissue female adult (51 years)	upper lobe of left lung	GEO:GSE136491	ENCODE	/files/ENCFF571QQY/,/files/ENCFF542FRC/,/files/ENCFF736PMU/,/files/ENCFF190JZI/,/files/ENCFF543KEC/,/files/ENCFF617DIU/,/files/ENCFF539YKE/,/files/ENCFF351KZG/,/files/ENCFF164QBB/,/files/ENCFF022XUW/,/files/ENCFF618LTS/,/files/ENCFF439ASM/,/files/ENCFF678MSJ/,/files/ENCFF954PKO/,/files/ENCFF194IMA/,/files/ENCFF768STB/,/files/ENCFF178DCM/,/files/ENCFF307QJK/,/files/ENCFF566ZDJ/,/files/ENCFF097LEV/,/files/ENCFF403RPA/,/files/ENCFF270FTT/,/files/ENCFF568HPI/,/files/ENCFF054VRQ/,/files/ENCFF496RDA/,/files/ENCFF192EXF/	ENCBS939RMD	1	1,2	Homo sapiens	adult	/replicates/307dab00-9543-475d-8308-2f2097b2efad/,/replicates/bd5e7005-8652-43f6-ae08-95ef2a47da35/
/experiments/ENCSR214UZE/	ENCSR214UZE	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens skin epidermis tissue female adult (71 years)	skin epidermis	GEO:GSE167743	ENCODE	/files/ENCFF453HBU/,/files/ENCFF479YCO/,/files/ENCFF168NAA/,/files/ENCFF437IBY/,/files/ENCFF793ZHL/,/files/ENCFF529BXA/,/files/ENCFF379RWI/,/files/ENCFF314WDS/	ENCBS823ZBL	1	1	Homo sapiens	adult	/replicates/63503889-d7c7-44cb-8cce-f680ecb37abc/
/experiments/ENCSR685XVI/	ENCSR685XVI	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens skin epidermis tissue male adult (78 years)	skin epidermis	GEO:GSE167836	ENCODE	/files/ENCFF838RFV/,/files/ENCFF937WIA/,/files/ENCFF544AOC/,/files/ENCFF745MSA/,/files/ENCFF253XLG/,/files/ENCFF394OCM/,/files/ENCFF472UAQ/,/files/ENCFF926SMH/,/files/ENCFF905UUJ/,/files/ENCFF087WUV/	ENCBS792ZTG	1	1	Homo sapiens	adult	/replicates/55a5132e-1993-429f-81f5-6b877adf2edc/
/experiments/ENCSR340ZTB/	ENCSR340ZTB	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens skin epidermis tissue female adult (80 years)	skin epidermis	GEO:GSE167629	ENCODE	/files/ENCFF164IPH/,/files/ENCFF286QVY/,/files/ENCFF083WGK/,/files/ENCFF595GSW/,/files/ENCFF807ITR/,/files/ENCFF306MNM/,/files/ENCFF289XOR/,/files/ENCFF809VKT/	ENCBS115YGN	1	1	Homo sapiens	adult	/replicates/655bf1c3-00cd-44d7-a953-bf5100e476b5/
/experiments/ENCSR702OVJ/	ENCSR702OVJ	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens heart left ventricle tissue female adult (51 years)	heart left ventricle	GEO:GSE136510	ENCODE	/files/ENCFF818CUQ/,/files/ENCFF880QFR/,/files/ENCFF766BQI/,/files/ENCFF980DPM/,/files/ENCFF305XKI/,/files/ENCFF224LFM/,/files/ENCFF504OCJ/,/files/ENCFF625XET/,/files/ENCFF756KJB/,/files/ENCFF301SIL/,/files/ENCFF204RHW/,/files/ENCFF283CXG/,/files/ENCFF652COU/,/files/ENCFF962IUZ/,/files/ENCFF258ZRC/,/files/ENCFF835XKD/,/files/ENCFF600UFS/,/files/ENCFF971SIA/,/files/ENCFF707LTB/,/files/ENCFF735VWS/,/files/ENCFF587GPF/,/files/ENCFF881FEK/,/files/ENCFF699HPG/,/files/ENCFF522YPN/,/files/ENCFF499HFY/,/files/ENCFF508DDS/	ENCBS684IAD	1	1,2	Homo sapiens	adult	/replicates/82356df1-c4a1-460f-bef6-436548618f7d/,/replicates/2a0b8694-add5-4b37-bce3-33ed40119d43/
/experiments/ENCSR954IGQ/	ENCSR954IGQ	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens testis tissue male adult (54 years)	testis	GEO:GSE143116	ENCODE	/files/ENCFF787ZCO/,/files/ENCFF843ASB/,/files/ENCFF032SJV/,/files/ENCFF553ZRK/,/files/ENCFF853KIY/,/files/ENCFF033DRX/,/files/ENCFF530VND/,/files/ENCFF741ICT/,/files/ENCFF610XSK/,/files/ENCFF736OEY/,/files/ENCFF372FDP/,/files/ENCFF681OSU/,/files/ENCFF547WBY/,/files/ENCFF476NLJ/,/files/ENCFF594DDV/,/files/ENCFF810MEK/,/files/ENCFF379XJK/,/files/ENCFF100QOV/,/files/ENCFF745QEI/,/files/ENCFF123RXQ/,/files/ENCFF659PFZ/,/files/ENCFF675XLX/,/files/ENCFF691WTS/,/files/ENCFF405LNI/,/files/ENCFF246QNM/,/files/ENCFF032CSL/	ENCBS849BBS	1	1,2	Homo sapiens	adult	/replicates/f5c47da4-362a-4ed3-abc3-f721ed15f47e/,/replicates/18596f37-fd1a-45cb-8375-9e8f149fdb62/
/experiments/ENCSR495HIT/	ENCSR495HIT	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens dorsolateral prefrontal cortex tissue male adult (71 years)	dorsolateral prefrontal cortex	GEO:GSE175300	ENCODE	/files/ENCFF060LUF/,/files/ENCFF350IXL/,/files/ENCFF861YZF/,/files/ENCFF840XPF/,/files/ENCFF173GKZ/,/files/ENCFF249HXQ/,/files/ENCFF241QYB/,/files/ENCFF082MCM/,/files/ENCFF484FUP/,/files/ENCFF676LJR/,/files/ENCFF429THJ/,/files/ENCFF712IVB/,/files/ENCFF242WZH/,/files/ENCFF135MSV/	ENCBS552CLR	1	2,1	Homo sapiens	adult	/replicates/46f27f87-6406-42b6-8822-f739ff8cdbbb/,/replicates/6f609fdb-8040-41af-84e0-4fff0c2d50bc/
/experiments/ENCSR194KGO/	ENCSR194KGO	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens skin epidermis tissue female adult (66 years)	skin epidermis	GEO:GSE167734	ENCODE	/files/ENCFF916UCZ/,/files/ENCFF903OCR/,/files/ENCFF222STO/,/files/ENCFF498MME/,/files/ENCFF926ENP/,/files/ENCFF116SYZ/,/files/ENCFF346GZD/,/files/ENCFF846BTG/,/files/ENCFF385NCA/,/files/ENCFF030IFC/	ENCBS826CAW	1	1	Homo sapiens	adult	/replicates/47e05536-b343-47c7-b72b-1c9c11c67f09/
/experiments/ENCSR891BTJ/	ENCSR891BTJ	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens tibial artery tissue male adult (37 years)	tibial artery	GEO:GSE139768	ENCODE	/files/ENCFF202KOX/,/files/ENCFF227MIN/,/files/ENCFF193XOS/,/files/ENCFF092JSR/,/files/ENCFF519ETK/,/files/ENCFF420HES/,/files/ENCFF437TKR/,/files/ENCFF114QOS/,/files/ENCFF467FMA/,/files/ENCFF647QMO/,/files/ENCFF140QKE/,/files/ENCFF921YTR/,/files/ENCFF344THS/,/files/ENCFF134QRV/,/files/ENCFF162SIL/,/files/ENCFF397JXP/,/files/ENCFF892SYR/,/files/ENCFF856WDE/,/files/ENCFF889IXP/,/files/ENCFF741ZIX/,/files/ENCFF066YNA/,/files/ENCFF423DJP/,/files/ENCFF090BWQ/,/files/ENCFF945XND/,/files/ENCFF972ZHA/,/files/ENCFF570QYR/	ENCBS452GMG	1	2,1	Homo sapiens	adult	/replicates/7a33f809-c8e8-4966-88d4-358ac646b8fc/,/replicates/0318096b-cef7-4464-8723-6c3ae8a94f03/
/experiments/ENCSR334DRN/	ENCSR334DRN	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27ac-human/	H3K27ac	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens skin epidermis tissue male adult (67 years)	skin epidermis	GEO:GSE167625	ENCODE	/files/ENCFF406EYP/,/files/ENCFF440GRX/,/files/ENCFF326VWI/,/files/ENCFF406STC/,/files/ENCFF944SXD/,/files/ENCFF697FJV/,/files/ENCFF307JXY/,/files/ENCFF806TRP/,/files/ENCFF854YAV/,/files/ENCFF674HIP/,/files/ENCFF974KMJ/,/files/ENCFF233KFW/,/files/ENCFF647VPO/,/files/ENCFF462XVH/	ENCBS550MBO	1	1	Homo sapiens	adult	/replicates/ac1c4da4-eea4-4da8-9732-ea28366b09d7/
