2023-03-30 03:26:32.911273	https://www.encodeproject.org/report/?type=Experiment&assay_title=Histone+ChIP-seq&target.investigated_as=histone&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&replicates.library.biosample.disease_term_name%21=Alzheimer%27s+disease&replicates.library.biosample.disease_term_name%21=mild+cognitive+impairment&replicates.library.biosample.disease_term_name%21=Cognitive+impairment&replicates.library.biosample.disease_term_name%21=basal+cell+carcinoma&replicates.library.biosample.disease_term_name%21=squamous+cell+carcinoma&replicates.library.biosample.disease_term_name%21=nonobstructive+coronary+artery+disease&assembly=GRCh38&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=assay_term_name&field=assay_title&field=biosample_ontology.classification&field=target.%40id&field=target.label&field=target.genes.symbol&field=biosample_summary&field=biosample_ontology.term_name&field=dbxrefs&field=award.project&field=files.%40id&field=replicates.library.biosample.accession&field=replicates.biological_replicate_number&field=replicates.technical_replicate_number&field=replicates.library.biosample.organism.scientific_name&field=replicates.library.biosample.life_stage&field=replicates.%40id&target.label=H3K27me3&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Project	Files	Biosample accession	Biological replicate	Technical replicate	Organism	Life stage	Replicates
/experiments/ENCSR965BLU/	ENCSR965BLU	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens gastroesophageal sphincter tissue male adult (37 years)	gastroesophageal sphincter	GEO:GSE139793	ENCODE	/files/ENCFF862NQF/,/files/ENCFF425WPG/,/files/ENCFF386SPQ/,/files/ENCFF187DDE/,/files/ENCFF574ZEC/,/files/ENCFF002UIW/,/files/ENCFF206IIM/,/files/ENCFF333PFV/,/files/ENCFF935TON/,/files/ENCFF063TZJ/,/files/ENCFF901GWR/,/files/ENCFF829SEK/,/files/ENCFF205BGE/,/files/ENCFF148DDQ/,/files/ENCFF549GWW/,/files/ENCFF159SQA/,/files/ENCFF320HZC/,/files/ENCFF766AIB/,/files/ENCFF503ERU/,/files/ENCFF756CZI/,/files/ENCFF920GUX/,/files/ENCFF769GTA/,/files/ENCFF998YGW/,/files/ENCFF500NZW/,/files/ENCFF244DZD/,/files/ENCFF879ZGU/	ENCBS727XQL	1	1,2	Homo sapiens	adult	/replicates/2ba173e8-0aab-46a2-8e30-b8e4169162f7/,/replicates/cb9961e3-e184-459a-bfcc-4739d781e635/
/experiments/ENCSR567VAB/	ENCSR567VAB	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens dorsolateral prefrontal cortex tissue female adult (90 or above years)	dorsolateral prefrontal cortex	GEO:GSE209056	ENCODE	/files/ENCFF786FYS/,/files/ENCFF759PXY/,/files/ENCFF789DTT/,/files/ENCFF054EMA/,/files/ENCFF897RBC/,/files/ENCFF124AVY/,/files/ENCFF070GTK/,/files/ENCFF512AKU/,/files/ENCFF942JQM/,/files/ENCFF368YJI/,/files/ENCFF799TBX/,/files/ENCFF071OLX/,/files/ENCFF303UQI/,/files/ENCFF008NWY/	ENCBS464LBN	1	1,2	Homo sapiens	adult	/replicates/0dccda4d-b275-4695-87b2-fafef646de49/,/replicates/2e21101f-b973-4346-8283-4b3de03a311d/
/experiments/ENCSR532EYS/	ENCSR532EYS	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens dorsolateral prefrontal cortex tissue male adult (83 years)	dorsolateral prefrontal cortex	GEO:GSE208927	ENCODE	/files/ENCFF754HYY/,/files/ENCFF979WLU/,/files/ENCFF876EOH/,/files/ENCFF229ESI/,/files/ENCFF093DCD/,/files/ENCFF035BMH/,/files/ENCFF854ZKM/,/files/ENCFF099ITL/,/files/ENCFF971VNT/,/files/ENCFF686QTX/,/files/ENCFF171BFA/,/files/ENCFF259PMU/,/files/ENCFF205RPD/,/files/ENCFF021OZO/	ENCBS485UEI	1	2,1	Homo sapiens	adult	/replicates/4bacc45c-3138-4d06-82fa-5e2361cd6875/,/replicates/5e188e11-b6bf-4d40-9939-7a02901eb250/
/experiments/ENCSR558GCO/	ENCSR558GCO	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens dorsolateral prefrontal cortex tissue female adult (87 years)	dorsolateral prefrontal cortex	GEO:GSE187693	ENCODE	/files/ENCFF607HEJ/,/files/ENCFF983QXT/,/files/ENCFF144ATV/,/files/ENCFF136FZO/,/files/ENCFF721SIX/,/files/ENCFF055HYC/,/files/ENCFF989MCC/,/files/ENCFF283XKA/,/files/ENCFF212IJF/,/files/ENCFF548MQR/,/files/ENCFF925FYC/,/files/ENCFF016NPV/,/files/ENCFF512OLZ/,/files/ENCFF510CIP/	ENCBS733LER	1	1,2	Homo sapiens	adult	/replicates/1f1ddc69-6894-4308-8306-0b1a53151ee3/,/replicates/59d6cc3b-9915-46ce-b4a6-a1c2714d4777/
/experiments/ENCSR469YCE/	ENCSR469YCE	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens upper lobe of left lung tissue male adult (37 years)	upper lobe of left lung	GEO:GSE139780	ENCODE	/files/ENCFF128ZRT/,/files/ENCFF602SXE/,/files/ENCFF829DRP/,/files/ENCFF786VCY/,/files/ENCFF942YUM/,/files/ENCFF182BOE/,/files/ENCFF521ZKI/,/files/ENCFF880GLV/,/files/ENCFF092NLW/,/files/ENCFF596GGF/,/files/ENCFF153XAF/,/files/ENCFF208RZP/,/files/ENCFF814SOA/,/files/ENCFF424TDU/,/files/ENCFF451DDS/,/files/ENCFF899ZZR/,/files/ENCFF064KCL/,/files/ENCFF480XBZ/,/files/ENCFF141OWM/,/files/ENCFF102GLV/,/files/ENCFF037HYT/,/files/ENCFF756IHK/,/files/ENCFF200YSO/,/files/ENCFF705WMX/,/files/ENCFF068NOV/,/files/ENCFF296KLJ/	ENCBS943JOF	1	1,2	Homo sapiens	adult	/replicates/8446d46d-884d-4d12-8f1b-93afd9d66e5a/,/replicates/a738fbbf-acdc-4d9a-b0af-4519b0150464/
/experiments/ENCSR409QXS/	ENCSR409QXS	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens heart right ventricle tissue male adult (73 years)	heart right ventricle	GEO:GSE187455	ENCODE	/files/ENCFF893ODV/,/files/ENCFF883WFB/,/files/ENCFF397AOO/,/files/ENCFF146UCO/,/files/ENCFF994HJJ/,/files/ENCFF588ONQ/,/files/ENCFF548RBB/,/files/ENCFF840PVF/,/files/ENCFF727JRT/,/files/ENCFF399GLU/,/files/ENCFF472TUA/,/files/ENCFF390PFP/,/files/ENCFF089VSL/,/files/ENCFF301GMN/	ENCBS237SHK	1	2,1	Homo sapiens	adult	/replicates/3ef94239-fcfc-4304-aa7c-83ba8006050b/,/replicates/d5acf3cd-a167-4a52-98a0-d9358e73994b/
/experiments/ENCSR165BJO/	ENCSR165BJO	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens heart left ventricle tissue male adult (43 years)	heart left ventricle	GEO:GSE187149	ENCODE	/files/ENCFF807ONQ/,/files/ENCFF524BOS/,/files/ENCFF408ODU/,/files/ENCFF147GTS/,/files/ENCFF079YDS/,/files/ENCFF576XHV/,/files/ENCFF152XUH/,/files/ENCFF126RMI/,/files/ENCFF310DKD/,/files/ENCFF813FYO/,/files/ENCFF002RAB/,/files/ENCFF464VMR/,/files/ENCFF242IRU/,/files/ENCFF482IDO/	ENCBS552CFU	1	1,2	Homo sapiens	adult	/replicates/d8f70780-28fa-4099-b387-8affd360a922/,/replicates/1f96dfd2-e7cd-40d2-a273-ce720d46539a/
/experiments/ENCSR764OHK/	ENCSR764OHK	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens tibial artery tissue male adult (37 years)	tibial artery	GEO:GSE139736	ENCODE	/files/ENCFF843UVI/,/files/ENCFF920IBE/,/files/ENCFF058KBD/,/files/ENCFF295IYR/,/files/ENCFF517XSB/,/files/ENCFF024VVM/,/files/ENCFF852GWI/,/files/ENCFF602LYB/,/files/ENCFF735ATT/,/files/ENCFF199BGQ/,/files/ENCFF284QIN/,/files/ENCFF118VFU/,/files/ENCFF983FNO/,/files/ENCFF389YJD/,/files/ENCFF279DVN/,/files/ENCFF072SSF/,/files/ENCFF315IHH/,/files/ENCFF060BLX/,/files/ENCFF084EBM/,/files/ENCFF853CJD/,/files/ENCFF666OTW/,/files/ENCFF217GWI/,/files/ENCFF692EUT/,/files/ENCFF031BEN/,/files/ENCFF177NXV/,/files/ENCFF852AWT/	ENCBS452GMG	1	1,2	Homo sapiens	adult	/replicates/ff27d263-ea78-45e5-8f17-c08d2dc2715d/,/replicates/6af67caf-ee67-4042-849e-78e9ebe32665/
/experiments/ENCSR901ZXU/	ENCSR901ZXU	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens dorsolateral prefrontal cortex tissue female adult (88 years)	dorsolateral prefrontal cortex	GEO:GSE175311	ENCODE	/files/ENCFF555ISY/,/files/ENCFF470XSB/,/files/ENCFF012RYT/,/files/ENCFF234LEW/,/files/ENCFF949QGA/,/files/ENCFF423UDW/,/files/ENCFF934YSB/,/files/ENCFF209AJS/,/files/ENCFF667GLM/,/files/ENCFF800RDW/,/files/ENCFF892JFQ/,/files/ENCFF115CVU/,/files/ENCFF902TZJ/,/files/ENCFF369ASW/	ENCBS844HXF	1	1,2	Homo sapiens	adult	/replicates/589344ed-0df2-4660-8397-a20b67d3ab37/,/replicates/484a5e6f-d05a-4c94-a3ff-d4910c508d0f/
/experiments/ENCSR205APY/	ENCSR205APY	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens spleen tissue female adult (61 years)	spleen	GEO:GSE187334	ENCODE	/files/ENCFF571XLG/,/files/ENCFF575CSH/,/files/ENCFF291TKP/,/files/ENCFF186SOQ/,/files/ENCFF851PKD/,/files/ENCFF212GLV/,/files/ENCFF025SWE/,/files/ENCFF522JXA/,/files/ENCFF598ZQW/,/files/ENCFF944EEB/,/files/ENCFF976UAD/,/files/ENCFF638XYK/,/files/ENCFF563ZAN/,/files/ENCFF028RDG/	ENCBS193VFU	1	2,1	Homo sapiens	adult	/replicates/1eec7b44-14d9-4049-88dc-2af99e200a84/,/replicates/944b6290-a922-4427-8ffb-48e239442f1f/
