2023-03-30 03:24:13.640615	https://www.encodeproject.org/report/?type=Experiment&assay_title=Histone+ChIP-seq&target.investigated_as=histone&target.label=H3K4me3&replicates.library.biosample.donor.organism.scientific_name=Homo+sapiens&biosample_ontology.classification=tissue&replicates.library.biosample.disease_term_name%21=Alzheimer%27s+disease&replicates.library.biosample.disease_term_name%21=mild+cognitive+impairment&replicates.library.biosample.disease_term_name%21=Cognitive+impairment&replicates.library.biosample.disease_term_name%21=basal+cell+carcinoma&replicates.library.biosample.disease_term_name%21=squamous+cell+carcinoma&replicates.library.biosample.disease_term_name%21=nonobstructive+coronary+artery+disease&assembly=GRCh38&files.file_type=bed+narrowPeak&field=%40id&field=accession&field=assay_term_name&field=assay_title&field=biosample_ontology.classification&field=target.%40id&field=target.label&field=target.genes.symbol&field=biosample_summary&field=biosample_ontology.term_name&field=dbxrefs&field=award.project&field=files.%40id&field=replicates.library.biosample.accession&field=replicates.biological_replicate_number&field=replicates.technical_replicate_number&field=replicates.library.biosample.organism.scientific_name&field=replicates.library.biosample.life_stage&field=replicates.%40id&limit=all
ID	Accession	Assay name	Assay title	Biosample classification	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Project	Files	Biosample accession	Biological replicate	Technical replicate	Organism	Life stage	Replicates
/experiments/ENCSR731QXN/	ENCSR731QXN	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens esophagus squamous epithelium tissue male adult (37 years)	esophagus squamous epithelium	GEO:GSE139730	ENCODE	/files/ENCFF238DOW/,/files/ENCFF421MWY/,/files/ENCFF442NKL/,/files/ENCFF813YVW/,/files/ENCFF497ZIE/,/files/ENCFF039FZO/,/files/ENCFF153FZG/,/files/ENCFF760URU/,/files/ENCFF257ZIA/,/files/ENCFF997ZWF/,/files/ENCFF339KON/,/files/ENCFF787TMF/,/files/ENCFF077FWQ/,/files/ENCFF029TAC/,/files/ENCFF047FPL/,/files/ENCFF064YPP/,/files/ENCFF504FTN/,/files/ENCFF856PVN/,/files/ENCFF258FUI/,/files/ENCFF346FRE/,/files/ENCFF559ZNQ/,/files/ENCFF376RAN/,/files/ENCFF467SHW/,/files/ENCFF764HZI/,/files/ENCFF929UJH/	ENCBS608MZC	1	1,2	Homo sapiens	adult	/replicates/f9cd80ed-0a89-4aa2-b9fc-7339f1507cd6/,/replicates/58a05e80-ab6e-4a96-81da-cdc7a3f8c28f/
/experiments/ENCSR342FPJ/	ENCSR342FPJ	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens tibial artery tissue male adult (54 years)	tibial artery	GEO:GSE167642	ENCODE	/files/ENCFF140CWY/,/files/ENCFF773TCN/,/files/ENCFF283OVQ/,/files/ENCFF466WDJ/,/files/ENCFF751RJK/,/files/ENCFF128OGK/,/files/ENCFF338MDF/,/files/ENCFF425DWG/,/files/ENCFF172PAO/,/files/ENCFF146FYH/,/files/ENCFF671LNP/,/files/ENCFF500AYP/,/files/ENCFF942GVP/,/files/ENCFF742DUV/,/files/ENCFF678MPY/,/files/ENCFF789XYI/,/files/ENCFF410VNG/,/files/ENCFF354MDY/,/files/ENCFF620GIB/,/files/ENCFF709HJW/,/files/ENCFF822NTB/,/files/ENCFF504JAK/,/files/ENCFF081JWA/,/files/ENCFF688IIL/,/files/ENCFF225YSL/,/files/ENCFF494QNV/,/files/ENCFF358YUN/,/files/ENCFF023DTP/,/files/ENCFF830YFF/,/files/ENCFF313MVM/,/files/ENCFF701WDJ/,/files/ENCFF914VJM/,/files/ENCFF667GPO/,/files/ENCFF817XTD/,/files/ENCFF408FZT/,/files/ENCFF455LEX/,/files/ENCFF136EID/,/files/ENCFF668LLI/,/files/ENCFF822GFS/,/files/ENCFF036XNT/,/files/ENCFF264YXU/,/files/ENCFF125JFQ/,/files/ENCFF168FWU/,/files/ENCFF579VBO/,/files/ENCFF824GYV/,/files/ENCFF799CAC/,/files/ENCFF557BLM/,/files/ENCFF146OGX/,/files/ENCFF973XXU/,/files/ENCFF052VAN/,/files/ENCFF100FIM/,/files/ENCFF518KWA/,/files/ENCFF847QAK/,/files/ENCFF853XST/,/files/ENCFF571BDF/,/files/ENCFF272JJE/,/files/ENCFF731FID/,/files/ENCFF366JRK/,/files/ENCFF853LIJ/,/files/ENCFF437PNL/	ENCBS736PQK,ENCBS646JZQ	2,1	1	Homo sapiens	adult	/replicates/f3b25cb9-54e2-4e1e-9bce-d1bc2bb2e958/,/replicates/0244d4be-f045-406d-9cf7-86f0abffdbe7/
/experiments/ENCSR743GCE/	ENCSR743GCE	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens uterus tissue female adult (51 years)	uterus	GEO:GSE167845	ENCODE	/files/ENCFF229MVG/,/files/ENCFF558ETK/,/files/ENCFF181HLF/,/files/ENCFF281HBI/,/files/ENCFF736GUF/,/files/ENCFF687ZWU/,/files/ENCFF224CZC/,/files/ENCFF763WTD/,/files/ENCFF859FHN/,/files/ENCFF237CYE/,/files/ENCFF668QWW/,/files/ENCFF251TNF/,/files/ENCFF025RGR/,/files/ENCFF891FRQ/,/files/ENCFF771DKC/,/files/ENCFF422FLW/,/files/ENCFF333MUQ/,/files/ENCFF598RMQ/,/files/ENCFF938IIL/,/files/ENCFF300YQM/,/files/ENCFF594IXJ/,/files/ENCFF399WCY/,/files/ENCFF082XDJ/,/files/ENCFF579ENZ/,/files/ENCFF621PDL/,/files/ENCFF968BGS/,/files/ENCFF991UKU/,/files/ENCFF774RSB/,/files/ENCFF081EXH/,/files/ENCFF764PLD/,/files/ENCFF697CPZ/,/files/ENCFF928ZDT/,/files/ENCFF455WPM/,/files/ENCFF132ANY/,/files/ENCFF369GXV/,/files/ENCFF500SRC/,/files/ENCFF767LRY/,/files/ENCFF687OUM/,/files/ENCFF404EOD/,/files/ENCFF569MMF/,/files/ENCFF453NIN/,/files/ENCFF835GVF/,/files/ENCFF101GNV/,/files/ENCFF566EAF/,/files/ENCFF141BCE/,/files/ENCFF358QDW/,/files/ENCFF465ZZO/,/files/ENCFF304JPA/,/files/ENCFF155UOS/,/files/ENCFF980GJI/,/files/ENCFF781UFS/,/files/ENCFF832XZV/,/files/ENCFF976XSO/,/files/ENCFF105NAF/,/files/ENCFF827PMG/,/files/ENCFF615SCX/,/files/ENCFF022DOY/,/files/ENCFF761IFJ/,/files/ENCFF971ZJF/,/files/ENCFF861AMW/,/files/ENCFF737ZMU/,/files/ENCFF223QDZ/	ENCBS443NGH,ENCBS102SRR	1,2	1,2	Homo sapiens	adult	/replicates/35cf15cf-6350-49d6-ae6f-17c7f017e888/,/replicates/22db2cec-1ca3-4fa7-be53-8c999a21694c/,/replicates/f5e2b43d-fe2f-47b0-b0a9-9a0f45422931/
/experiments/ENCSR701FGA/	ENCSR701FGA	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens upper lobe of left lung tissue male adult (54 years)	upper lobe of left lung	GEO:GSE143059	ENCODE	/files/ENCFF117DUU/,/files/ENCFF112GZX/,/files/ENCFF229BZW/,/files/ENCFF350ZYK/,/files/ENCFF757JEE/,/files/ENCFF898ZWG/,/files/ENCFF065FAE/,/files/ENCFF590RYT/,/files/ENCFF285TGB/,/files/ENCFF526RLU/,/files/ENCFF390QCM/,/files/ENCFF285ENT/,/files/ENCFF335IHN/,/files/ENCFF666HAC/,/files/ENCFF481TTY/,/files/ENCFF481JLQ/,/files/ENCFF818EIN/,/files/ENCFF492UGW/,/files/ENCFF433VGH/,/files/ENCFF505ZAG/,/files/ENCFF212SQO/,/files/ENCFF454YRZ/,/files/ENCFF306HNW/,/files/ENCFF746KCC/,/files/ENCFF742AVP/,/files/ENCFF192AXG/	ENCBS401SWW	1	2,1	Homo sapiens	adult	/replicates/09770de3-1efb-454e-b4bd-c5b6b603533e/,/replicates/b99eb7f5-b041-4e2a-a9a3-d04351a6914a/
/experiments/ENCSR557OWY/	ENCSR557OWY	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens transverse colon tissue male adult (54 years)	transverse colon	GEO:GSE143011	ENCODE	/files/ENCFF022THK/,/files/ENCFF019ZZG/,/files/ENCFF076PEP/,/files/ENCFF716KNV/,/files/ENCFF165YIJ/,/files/ENCFF927CUO/,/files/ENCFF197YTB/,/files/ENCFF434XJI/,/files/ENCFF826VOL/,/files/ENCFF852UHO/,/files/ENCFF103UFA/,/files/ENCFF418JFS/,/files/ENCFF251XNL/,/files/ENCFF424LFW/,/files/ENCFF665PEP/,/files/ENCFF624ARZ/,/files/ENCFF805SHG/,/files/ENCFF344OIY/,/files/ENCFF462EJX/,/files/ENCFF151WVM/,/files/ENCFF585FQX/,/files/ENCFF264LBD/,/files/ENCFF592JEY/,/files/ENCFF848BPB/,/files/ENCFF568IBR/,/files/ENCFF057RCQ/	ENCBS121FBL	1	2,1	Homo sapiens	adult	/replicates/c2f7b550-a5cc-4173-9db0-cddea1fe896e/,/replicates/b5f3ee1c-f3ac-4355-b0e8-adf8a7e985dc/
/experiments/ENCSR063HOI/	ENCSR063HOI	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens stomach tissue male adult (54 years)	stomach	GEO:GSE167645	ENCODE	/files/ENCFF547YHI/,/files/ENCFF128GRD/,/files/ENCFF268TDD/,/files/ENCFF671URC/,/files/ENCFF780JZQ/,/files/ENCFF877RDK/,/files/ENCFF598LZD/,/files/ENCFF352KUD/,/files/ENCFF834GTP/,/files/ENCFF044SAF/,/files/ENCFF439MEP/,/files/ENCFF971XRJ/,/files/ENCFF302NRA/,/files/ENCFF015XQY/,/files/ENCFF928DBA/,/files/ENCFF221JKN/,/files/ENCFF331JCU/,/files/ENCFF752TMT/,/files/ENCFF690TRZ/,/files/ENCFF205VUE/,/files/ENCFF373VDB/,/files/ENCFF258FUH/,/files/ENCFF349OIL/,/files/ENCFF856KHQ/,/files/ENCFF857PEB/,/files/ENCFF062MAV/,/files/ENCFF946MPF/,/files/ENCFF391KDD/,/files/ENCFF797XVL/,/files/ENCFF502IJF/	ENCBS443LLE	1	2,1	Homo sapiens	adult	/replicates/c6c90272-2b96-4528-babb-b3522ae054c4/,/replicates/a6d8b76b-bdfc-44e7-95ed-3ef0ccadfe9c/
/experiments/ENCSR464TRM/	ENCSR464TRM	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens tibial nerve tissue male adult (54 years)	tibial nerve	GEO:GSE142982	ENCODE	/files/ENCFF779PMH/,/files/ENCFF236NGQ/,/files/ENCFF157NLY/,/files/ENCFF906CGX/,/files/ENCFF747NJD/,/files/ENCFF251JGN/,/files/ENCFF724DIF/,/files/ENCFF697KBZ/,/files/ENCFF874YTU/,/files/ENCFF589ODO/,/files/ENCFF113WVF/,/files/ENCFF105MRV/,/files/ENCFF141WCM/,/files/ENCFF849GUL/,/files/ENCFF424QYS/,/files/ENCFF883BMK/,/files/ENCFF397STE/,/files/ENCFF908QLA/,/files/ENCFF965FDH/,/files/ENCFF152JTK/,/files/ENCFF787CUF/,/files/ENCFF350DJV/,/files/ENCFF897XKD/,/files/ENCFF827OWF/	ENCBS952IFF	1	1	Homo sapiens	adult	/replicates/91bbc7b7-7c17-4f9d-a5bc-f5e9e4baa55a/
/experiments/ENCSR377ILM/	ENCSR377ILM	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens spleen tissue male adult (54 years)	spleen	GEO:GSE167703	ENCODE	/files/ENCFF769WHD/,/files/ENCFF012IXO/,/files/ENCFF710VTI/,/files/ENCFF308JUH/,/files/ENCFF342AVB/,/files/ENCFF952RFQ/,/files/ENCFF093MOL/,/files/ENCFF298WNQ/,/files/ENCFF681BDD/,/files/ENCFF614VLU/,/files/ENCFF326CSQ/,/files/ENCFF643COH/,/files/ENCFF594KBH/,/files/ENCFF737FGD/,/files/ENCFF834IRG/,/files/ENCFF995DKO/,/files/ENCFF456JLJ/,/files/ENCFF848JCZ/,/files/ENCFF248JZE/,/files/ENCFF758JTP/,/files/ENCFF070TPY/,/files/ENCFF328VTG/,/files/ENCFF436VXG/,/files/ENCFF857FAB/,/files/ENCFF564HYL/,/files/ENCFF347ADG/,/files/ENCFF977HLM/,/files/ENCFF503SZN/,/files/ENCFF197DAH/,/files/ENCFF431ZIA/,/files/ENCFF618QXI/,/files/ENCFF571IBD/,/files/ENCFF533QSX/,/files/ENCFF026DFH/,/files/ENCFF649RXT/,/files/ENCFF567HCR/,/files/ENCFF679ZXO/,/files/ENCFF225FXG/,/files/ENCFF271QBT/,/files/ENCFF547CJE/,/files/ENCFF692HQX/,/files/ENCFF589BZI/,/files/ENCFF689VLN/,/files/ENCFF189KXE/,/files/ENCFF113PIZ/,/files/ENCFF265QSN/,/files/ENCFF902RBM/,/files/ENCFF086XCC/,/files/ENCFF273CGE/,/files/ENCFF584TQL/,/files/ENCFF313TIQ/,/files/ENCFF017NXL/,/files/ENCFF811NPL/,/files/ENCFF805HJF/,/files/ENCFF485ZDM/,/files/ENCFF281EZM/,/files/ENCFF731AEQ/,/files/ENCFF091KUN/,/files/ENCFF131CHV/,/files/ENCFF998XBD/,/files/ENCFF387EFK/,/files/ENCFF187WMV/,/files/ENCFF885PEA/,/files/ENCFF081UTU/,/files/ENCFF505WSK/,/files/ENCFF553LFA/,/files/ENCFF128GOB/,/files/ENCFF690JBP/	ENCBS223WIE,ENCBS949QWK	1,2	1,2	Homo sapiens	adult	/replicates/3d7da45a-9052-4977-af87-2a946bb49393/,/replicates/e99289d1-a96d-482d-bda3-8485419872e7/,/replicates/8f6c888d-efba-47cd-a7ab-89a18864c434/,/replicates/4533937a-05aa-479c-aa36-f1f35949e866/
/experiments/ENCSR965CIV/	ENCSR965CIV	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens dorsolateral prefrontal cortex tissue male adult (86 years)	dorsolateral prefrontal cortex	GEO:GSE175341	ENCODE	/files/ENCFF693TDH/,/files/ENCFF018FIT/,/files/ENCFF275TNO/,/files/ENCFF775ICS/,/files/ENCFF788WNM/,/files/ENCFF723ZZV/,/files/ENCFF892CLH/,/files/ENCFF400WNY/,/files/ENCFF910MRN/,/files/ENCFF846HWV/,/files/ENCFF016RMR/,/files/ENCFF014FUG/,/files/ENCFF557GVR/,/files/ENCFF831EAA/	ENCBS940YCN	1	1,2	Homo sapiens	adult	/replicates/c31f5bae-441c-42c2-8f9c-4b6030aa4f9d/,/replicates/00b00a17-8b15-4c31-9625-0ff4713c44f8/
/experiments/ENCSR875PYX/	ENCSR875PYX	ChIP-seq	Histone ChIP-seq	tissue	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens dorsolateral prefrontal cortex tissue male adult (83 years)	dorsolateral prefrontal cortex	GEO:GSE209490	ENCODE	/files/ENCFF672QOP/,/files/ENCFF974OBA/,/files/ENCFF077AJK/,/files/ENCFF744DZZ/,/files/ENCFF627RKD/,/files/ENCFF959IUV/,/files/ENCFF297ZNB/,/files/ENCFF809OAB/,/files/ENCFF730XOV/,/files/ENCFF009ORT/,/files/ENCFF763KTR/,/files/ENCFF999DBX/,/files/ENCFF398NVN/,/files/ENCFF522WRJ/	ENCBS485UEI	1	2,1	Homo sapiens	adult	/replicates/584d94c5-619f-482f-a2da-e0ffee391274/,/replicates/bc794b60-ecb9-4fea-9f17-2e14ea485197/
